raceId,season,round,raceName,date,circuitId,circuitName,country,lat,lng
1993_3,1993,3,European Grand Prix,1993-04-11,donington,Donington Park,UK,52.8306,-1.37528
1993_4,1993,4,San Marino Grand Prix,1993-04-25,imola,Autodromo Enzo e Dino Ferrari,Italy,44.3439,11.7167
1993_5,1993,5,Spanish Grand Prix,1993-05-09,catalunya,Circuit de Barcelona-Catalunya,Spain,41.57,2.26111
1993_6,1993,6,Monaco Grand Prix,1993-05-23,monaco,Circuit de Monaco,Monaco,43.7347,7.42056
1993_7,1993,7,Canadian Grand Prix,1993-06-13,villeneuve,Circuit Gilles Villeneuve,Canada,45.5,-73.5228
1993_8,1993,8,French Grand Prix,1993-07-04,magny_cours,Circuit de Nevers Magny-Cours,France,46.8642,3.16361
1993_9,1993,9,British Grand Prix,1993-07-11,silverstone,Silverstone Circuit,UK,52.0786,-1.01694
1993_10,1993,10,German Grand Prix,1993-07-25,hockenheimring,Hockenheimring,Germany,49.3278,8.56583
1993_11,1993,11,Hungarian Grand Prix,1993-08-15,hungaroring,Hungaroring,Hungary,47.5789,19.2486
1993_12,1993,12,Belgian Grand Prix,1993-08-29,spa,Circuit de Spa-Francorchamps,Belgium,50.4372,5.97139
1993_13,1993,13,Italian Grand Prix,1993-09-12,monza,Autodromo Nazionale di Monza,Italy,45.6156,9.28111
1993_14,1993,14,Portuguese Grand Prix,1993-09-26,estoril,Autódromo do Estoril,Portugal,38.7506,-9.39417
1993_15,1993,15,Japanese Grand Prix,1993-10-24,suzuka,Suzuka Circuit,Japan,34.8431,136.541
1993_16,1993,16,Australian Grand Prix,1993-11-07,adelaide,Adelaide Street Circuit,Australia,-34.9272,138.617
1994_1,1994,1,Brazilian Grand Prix,1994-03-27,interlagos,Autódromo José Carlos Pace,Brazil,-23.7036,-46.6997
1994_2,1994,2,Pacific Grand Prix,1994-04-17,okayama,Okayama International Circuit,Japan,34.915,134.221
1994_3,1994,3,San Marino Grand Prix,1994-05-01,imola,Autodromo Enzo e Dino Ferrari,Italy,44.3439,11.7167
1994_4,1994,4,Monaco Grand Prix,1994-05-15,monaco,Circuit de Monaco,Monaco,43.7347,7.42056
1994_5,1994,5,Spanish Grand Prix,1994-05-29,catalunya,Circuit de Barcelona-Catalunya,Spain,41.57,2.26111
1994_6,1994,6,Canadian Grand Prix,1994-06-12,villeneuve,Circuit Gilles Villeneuve,Canada,45.5,-73.5228
1994_7,1994,7,French Grand Prix,1994-07-03,magny_cours,Circuit de Nevers Magny-Cours,France,46.8642,3.16361
1994_8,1994,8,British Grand Prix,1994-07-10,silverstone,Silverstone Circuit,UK,52.0786,-1.01694
1994_9,1994,9,German Grand Prix,1994-07-31,hockenheimring,Hockenheimring,Germany,49.3278,8.56583
1994_10,1994,10,Hungarian Grand Prix,1994-08-14,hungaroring,Hungaroring,Hungary,47.5789,19.2486
1994_11,1994,11,Belgian Grand Prix,1994-08-28,spa,Circuit de Spa-Francorchamps,Belgium,50.4372,5.97139
1994_12,1994,12,Italian Grand Prix,1994-09-11,monza,Autodromo Nazionale di Monza,Italy,45.6156,9.28111
1994_13,1994,13,Portuguese Grand Prix,1994-09-25,estoril,Autódromo do Estoril,Portugal,38.7506,-9.39417
1994_14,1994,14,European Grand Prix,1994-10-16,jerez,Circuito de Jerez,Spain,36.7083,-6.03417
1994_15,1994,15,Japanese Grand Prix,1994-11-06,suzuka,Suzuka Circuit,Japan,34.8431,136.541
1994_16,1994,16,Australian Grand Prix,1994-11-13,adelaide,Adelaide Street Circuit,Australia,-34.9272,138.617
1995_1,1995,1,Brazilian Grand Prix,1995-03-26,interlagos,Autódromo José Carlos Pace,Brazil,-23.7036,-46.6997
1995_2,1995,2,Argentine Grand Prix,1995-04-09,galvez,Autódromo Juan y Oscar Gálvez,Argentina,-34.6943,-58.4593
1995_3,1995,3,San Marino Grand Prix,1995-04-30,imola,Autodromo Enzo e Dino Ferrari,Italy,44.3439,11.7167
1995_4,1995,4,Spanish Grand Prix,1995-05-14,catalunya,Circuit de Barcelona-Catalunya,Spain,41.57,2.26111
1995_5,1995,5,Monaco Grand Prix,1995-05-28,monaco,Circuit de Monaco,Monaco,43.7347,7.42056
1995_6,1995,6,Canadian Grand Prix,1995-06-11,villeneuve,Circuit Gilles Villeneuve,Canada,45.5,-73.5228
1995_7,1995,7,French Grand Prix,1995-07-02,magny_cours,Circuit de Nevers Magny-Cours,France,46.8642,3.16361
1995_8,1995,8,British Grand Prix,1995-07-16,silverstone,Silverstone Circuit,UK,52.0786,-1.01694
1995_9,1995,9,German Grand Prix,1995-07-30,hockenheimring,Hockenheimring,Germany,49.3278,8.56583
1995_10,1995,10,Hungarian Grand Prix,1995-08-13,hungaroring,Hungaroring,Hungary,47.5789,19.2486
1995_11,1995,11,Belgian Grand Prix,1995-08-27,spa,Circuit de Spa-Francorchamps,Belgium,50.4372,5.97139
1995_12,1995,12,Italian Grand Prix,1995-09-10,monza,Autodromo Nazionale di Monza,Italy,45.6156,9.28111
1995_13,1995,13,Portuguese Grand Prix,1995-09-24,estoril,Autódromo do Estoril,Portugal,38.7506,-9.39417
1995_14,1995,14,European Grand Prix,1995-10-01,nurburgring,Nürburgring,Germany,50.3356,6.9475
1995_15,1995,15,Pacific Grand Prix,1995-10-22,okayama,Okayama International Circuit,Japan,34.915,134.221
1995_16,1995,16,Japanese Grand Prix,1995-10-29,suzuka,Suzuka Circuit,Japan,34.8431,136.541
1995_17,1995,17,Australian Grand Prix,1995-11-12,adelaide,Adelaide Street Circuit,Australia,-34.9272,138.617
1996_1,1996,1,Australian Grand Prix,1996-03-10,albert_park,Albert Park Grand Prix Circuit,Australia,-37.8497,144.968
1996_2,1996,2,Brazilian Grand Prix,1996-03-31,interlagos,Autódromo José Carlos Pace,Brazil,-23.7036,-46.6997
1996_3,1996,3,Argentine Grand Prix,1996-04-07,galvez,Autódromo Juan y Oscar Gálvez,Argentina,-34.6943,-58.4593
1996_4,1996,4,European Grand Prix,1996-04-28,nurburgring,Nürburgring,Germany,50.3356,6.9475
